n,business-name href,business-name,categories 2,categories href 2,categories 3,categories href 3,track-visit-website href,years-in-business src,phones,street-address,open-status,body,rating href,menu href
1,https://www.yellowpages.com/atlanta-ga/mip/aspen-dental-564007701?lid=1002188386781,Aspen Dental,Cosmetic Dentistry,https://www.yellowpages.com/atlanta-ga/cosmetic-dentistry,Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,https://www.aspendental.com/schedule-an-appointment/?fc=4259&utm_source=YP&utm_medium=IYP&utm_campaign=Atlanta_GA-MMIYP-4259,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(770) 450-5220,2937 Cobb Pkwy SE Ste 100,OPEN NOW,"From Business: Located in Atlanta, GA, Aspen Dental provides comprehensive and affordable dental services. Our offerings include dentures, dental implants, routine dental…",,
2,https://www.yellowpages.com/atlanta-ga/mip/aspen-dental-567647296?lid=1002188390778,Aspen Dental,Cosmetic Dentistry,https://www.yellowpages.com/atlanta-ga/cosmetic-dentistry,Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,https://www.aspendental.com/schedule-an-appointment/?fc=4213&utm_source=YP&utm_medium=IYP&utm_campaign=Dunwood_GA-MMIYP-4213,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(256) 781-3091,4718 Ashford Dunwoody Rd,OPEN NOW,"From Business: Located in Dunwoody, GA, Aspen Dental provides comprehensive and affordable dental services. Our offerings include dentures, dental implants, routine dental…",,
3,https://www.yellowpages.com/atlanta-ga/mip/metro-dental-472309557?lid=1002125492267,Metro Dental,Prosthodontists & Denture Centers,https://www.yellowpages.com/atlanta-ga/prosthodontists-denture-centers,Cosmetic Dentistry,https://www.yellowpages.com/atlanta-ga/cosmetic-dentistry,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(470) 823-1324,400 Cleveland Avenue Southwest,OPEN NOW,Metro Dental has been my dental office for 40+ years.  I have the utmost respect for this dental office as they have been there for me in numerous dental situations over the…,https://www.yellowpages.com/atlanta-ga/mip/metro-dental-472309557?lid=1002125492267#yp-rating,
4,https://www.yellowpages.com/atlanta-ga/mip/lohmann-dental-5743794,Lohmann Dental,Cosmetic Dentistry,https://www.yellowpages.com/atlanta-ga/cosmetic-dentistry,Orthodontists,https://www.yellowpages.com/atlanta-ga/orthodontists,http://lohmanndentalatlanta.com/,,(404) 352-5578,2221 Peachtree Rd NE Ste L,OPEN NOW,"When I first visited with Dr. Lohmann there was mutual concern that I could possibly lose my teeth due to gum disease, though I was otherwise healthy and active.  Dr. Lohmann…",https://www.yellowpages.com/atlanta-ga/mip/lohmann-dental-5743794#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/lohmann-dental-5743794#open-menu
5,https://www.yellowpages.com/atlanta-ga/mip/j-stephen-buckler-dmd-pc-2995925,"J. Stephen Buckler, DMD PC",Periodontists,https://www.yellowpages.com/atlanta-ga/periodontists,Teeth Whitening Products & Services,https://www.yellowpages.com/atlanta-ga/teeth-whitening-products-services,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(770) 491-0960,3632 Chamblee Tucker Rd,OPEN NOW,My experience at the office has exceeded my expectations. I would definitely recommend Dr. Buckler to a family member or friend.",https://www.yellowpages.com/atlanta-ga/mip/j-stephen-buckler-dmd-pc-2995925#yp-rating,
6,https://www.yellowpages.com/atlanta-ga/mip/yi-tsu-cheng-d-d-s-502763717,"Yi-Tsu Cheng, D.D.S",,,,,http://chengdds.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(770) 457-3671,5008 Buford Hwy Ste B,CLOSED NOW,The  hygienist  is  too  great  for  words!  I’m  speechless  of  how  well  their  work  is.  Nothing  better  than  a  thoroughly  clean  mouth.",https://www.yellowpages.com/atlanta-ga/mip/yi-tsu-cheng-d-d-s-502763717#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/yi-tsu-cheng-d-d-s-502763717#open-menu
7,https://www.yellowpages.com/atlanta-ga/mip/nancy-ann-ferrara-dds-548672167,"Nancy Ann Ferrara, DDS",Oral & Maxillofacial Surgery,https://www.yellowpages.com/atlanta-ga/oral-maxillofacial-surgery,,,https://www.mooresmilldental.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 351-5200,1980 Moores Mill Rd NW,OPEN NOW,I love this office I have been coming for many years now. The staff is awesome. I love Dr. Nancy she is great.",https://www.yellowpages.com/atlanta-ga/mip/nancy-ann-ferrara-dds-548672167#yp-rating,
8,https://www.yellowpages.com/atlanta-ga/mip/amy-v-mandalia-dds-514045042,"Amy V. Mandalia, DDS",,,,,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(678) 321-1888,900 Peachtree St NE Ste 100A,OPEN NOW,She is always fantastic! Absolutely love her. Always knowledgeable and always friendly.",https://www.yellowpages.com/atlanta-ga/mip/amy-v-mandalia-dds-514045042#yp-rating,
9,https://www.yellowpages.com/atlanta-ga/mip/susan-g-rifkin-dds-7797962,"Susan G. Rifkin, DDS",Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,Dental Clinics,https://www.yellowpages.com/atlanta-ga/dental-clinics,https://www.allsmilesdds.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(770) 393-0800,1000 Abernathy Rd,OPEN NOW,"The entire staff is professional, courteous, and respectful. I always feel that my needs are the top priority of the practice.""",https://www.yellowpages.com/atlanta-ga/mip/susan-g-rifkin-dds-7797962#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/susan-g-rifkin-dds-7797962#open-menu
10,https://www.yellowpages.com/atlanta-ga/mip/andrew-james-king-dmd-542816602,"Andrew James King, DMD",,,,,http://allsmilesdds.com/,,(770) 393-0800,1000 Abernathy Rd,,"I have been coming to this practice, with my entire family, for over thirty years. We all love Dr. King and Dr. Rifkin.  Even my young grandsons like coming here! In fact, my…",https://www.yellowpages.com/atlanta-ga/mip/andrew-james-king-dmd-542816602#yp-rating,
11,https://www.yellowpages.com/atlanta-ga/mip/sandy-springs-dental-8428008,Sandy Springs Dental,,,,,http://www.dentaltlc.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 252-7373,5975 Roswell Rd Ste D229,OPEN NOW,"I went to Sandy Springs Dental for a cleaning. While Dr. Stoever and my hygienist were very kind and knowledgeable, I will not return.Every interaction I had with the…",https://www.yellowpages.com/atlanta-ga/mip/sandy-springs-dental-8428008#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/sandy-springs-dental-8428008#open-menu
